onset	duration	trial_type	response_time	correct
8.8	2.2	male_corr_1	0.785	corr
11.0	2.2	female_corr_1	0.727	corr
13.2	2.2	female_corr_1	0.594	corr
15.4	2.2	male_corr_1	0.590	corr
17.6	2.2	female_corr_1	0.542	corr
22.0	2.2	female_corr_1	0.631	corr
26.4	2.2	male_corr_1	0.708	corr
30.8	2.2	male_corr_1	0.818	corr
33.0	2.2	female_corr_1	0.624	corr
37.4	2.2	female_corr_1	0.774	corr
39.6	2.2	male_corr_1	0.696	corr
46.2	2.2	female_corr_1	0.538	corr
52.8	2.2	male_corr_1	0.685	corr
55.0	2.2	male_corr_1	0.864	corr
57.2	2.2	male_corr_1	0.597	corr
59.4	2.2	female_corr_1	0.709	corr
63.8	2.2	male_corr_1	0.716	corr
66.0	2.2	male_corr_1	0.629	corr
70.4	2.2	male_corr_1	0.746	corr
74.8	2.2	male_corr_1	0.683	corr
79.2	2.2	female_corr_1	0.608	corr
81.4	2.2	female_corr_1	0.565	corr
83.6	2.2	female_corr_1	0.524	corr
85.8	2.2	female_corr_1	0.670	corr
90.2	2.2	male_corr_2	0.713	corr
92.4	2.2	female_corr_2	0.612	corr
94.6	2.2	female_corr_2	0.621	corr
96.8	2.2	female_corr_2	0.863	corr
101.2	2.2	male_corr_2	1.101	corr
103.4	2.2	female_corr_2	0.623	corr
110.0	2.2	female_corr_2	0.751	corr
112.2	2.2	male_corr_2	0.645	corr
114.4	2.2	male_corr_2	0.660	corr
118.8	2.2	male_corr_2	0.738	corr
121.0	2.2	male_corr_2	0.826	corr
125.4	2.2	female_corr_2	0.567	corr
132.0	2.2	female_corr_2	0.666	corr
134.2	2.2	female_corr_2	0.633	corr
138.6	2.2	male_corr_2	0.670	corr
140.8	2.2	female_corr_2	0.702	corr
143.0	2.2	male_corr_2	0.650	corr
147.4	2.2	male_corr_2	0.699	corr
151.8	2.2	female_corr_2	0.573	corr
154.0	2.2	male_corr_2	0.736	corr
156.2	2.2	female_corr_2	0.587	corr
158.4	2.2	male_corr_2	0.652	corr
162.8	2.2	male_corr_2	0.612	corr
165.0	2.2	female_corr_2	0.668	corr
167.2	2.2	female_corr_3	0.630	corr
169.4	2.2	male_corr_3	0.563	corr
171.6	2.2	male_corr_3	0.652	corr
180.4	2.2	male_corr_3	0.647	corr
182.6	2.2	female_corr_3	0.575	corr
184.8	2.2	female_corr_3	0.553	corr
187.0	2.2	male_corr_3	0.637	corr
189.2	2.2	male_corr_3	0.612	corr
191.4	2.2	female_corr_3	0.669	corr
193.6	2.2	female_corr_3	0.577	corr
195.8	2.2	female_corr_3	0.586	corr
204.6	2.2	female_corr_3	0.572	corr
206.8	2.2	male_corr_3	0.526	corr
209.0	2.2	male_corr_3	0.604	corr
215.6	2.2	female_corr_3	0.607	corr
217.8	2.2	female_corr_3	0.589	corr
220.0	2.2	male_corr_3	0.731	corr
224.4	2.2	male_corr_3	0.770	corr
228.8	2.2	male_corr_3	0.599	corr
231.0	2.2	female_corr_3	0.556	corr
233.2	2.2	male_corr_3	0.749	corr
237.6	2.2	male_corr_3	0.693	corr
239.8	2.2	female_corr_3	0.625	corr
244.2	2.2	female_corr_3	0.574	corr
