onset	duration	trial_type	response_time	correct
52.8	2.2	Glass_startcue	n/a	n/a
70.4	121.0	Glass_sustained	n/a	n/a
59.4	0.3	Glass_random	0.784	corr
66.0	0.3	Glass_random	0.929	corr
68.2	0.3	Glass_coherent	0.765	corr
70.4	0.3	Glass_coherent	0.741	corr
74.8	0.3	Glass_random	0.813	corr
77.0	0.3	Glass_coherent	0.835	corr
83.6	0.3	Glass_coherent	1.231	corr
85.8	0.3	Glass_random	0.906	corr
90.2	0.3	Glass_random	0.790	corr
96.8	0.3	Glass_random	0.898	corr
103.4	0.3	Glass_coherent	1.280	corr
107.8	0.3	Glass_coherent	0.957	corr
110.0	0.3	Glass_coherent	1.220	corr
114.4	0.3	Glass_coherent	0.965	corr
118.8	0.3	Glass_random	1.063	corr
121.0	0.3	Glass_random	0.923	corr
127.6	0.3	Glass_random	0.856	corr
129.8	0.3	Glass_coherent	0.847	corr
132.0	0.3	Glass_random	0.966	corr
140.8	0.3	Glass_coherent	1.173	corr
145.2	0.3	Glass_random	0.787	corr
147.4	0.3	Glass_coherent	0.804	corr
149.6	0.3	Glass_coherent	0.800	corr
158.4	0.3	Glass_random	0.839	corr
162.8	0.3	Glass_coherent	0.187	err
171.6	0.3	Glass_coherent	0.756	corr
173.8	0.3	Glass_random	0.749	corr
176.0	0.3	Glass_random	0.734	corr
184.8	0.3	Glass_random	0.911	corr
187.0	0.3	Glass_coherent	0.884	corr
191.4	2.2	Glass_endcue	n/a	n/a
237.6	2.2	NV_startcue	n/a	n/a
255.2	121.0	NV_sustained	n/a	n/a
246.4	0.3	Verb	0.934	corr
248.6	0.3	Verb	1.056	corr
253.0	0.3	Verb	1.388	corr
259.6	0.3	Noun	0.805	corr
261.8	0.3	Verb	1.403	corr
268.4	0.3	Noun	1.618	corr
270.6	0.3	Noun	1.635	corr
272.8	0.3	Noun	0.992	corr
277.2	0.3	Noun	1.850	corr
279.4	0.3	Verb	1.077	corr
281.6	0.3	Verb	1.183	corr
290.4	0.3	Verb	1.947	err
294.8	0.3	Noun	0.918	corr
297.0	0.3	Verb	2.007	corr
301.4	0.3	Noun	1.301	corr
303.6	0.3	Noun	1.300	corr
310.2	0.3	Verb	1.364	corr
314.6	0.3	Noun	1.394	corr
319.0	0.3	Verb	n/a	NoResponse
327.8	0.3	Noun	1.752	corr
330.0	0.3	Verb	1.684	corr
334.4	0.3	Noun	1.883	corr
343.2	0.3	Noun	1.666	corr
347.6	0.3	Noun	0.518	corr
356.4	0.3	Verb	0.184	corr
358.6	0.3	Noun	1.686	corr
360.8	0.3	Noun	1.301	corr
365.2	0.3	Verb	n/a	NoResponse
369.6	0.3	Verb	1.422	corr
371.8	0.3	Verb	1.412	corr
376.2	2.2	NV_endcue	n/a	n/a
